index,date,sha,short_sha,author,subject,top_dirs,files_changed,insertions,deletions,patch_equivalent_in_origin,same_subject_in_origin,draft_recommendation,draft_rationale,draft_tag,commit_url,final_recommendation,final_rationale,final_tag,new_recommendation,new_wave,new_reason
1,2026-03-01,1db2a409612d8e4de0148f7b6bdf8d62535002fd,1db2a40961,Charles Bochet,Migrate twenty ui to linaria (#18307),"packages/twenty-ui (181), packages/twenty-front (28), packages/twenty-shared (2)",211,3685,3000,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/1db2a409612d8e4de0148f7b6bdf8d62535002fd,no,already integrated in Fuse,duplicate,no,,duplicate
2,2026-03-02,68d22973381410dd3c2268d14ce2c234efaa607b,68d2297338,Félix Malfait,Fix expression injection in cross-repo GitHub Actions workflow (#18316),.github (1),1,5,2,no,no,no,CI only,ci,https://github.com/twentyhq/twenty/commit/68d22973381410dd3c2268d14ce2c234efaa607b,no,CI only,ci,no,,ci
3,2026-03-02,8d47d8ae38a80c0b590c4ddffc76ee9b85f7f149,8d47d8ae38,Félix Malfait,Fix E2E tests broken by redesigned navigation menu (#18315),packages/twenty-e2e-testing (4),4,6,3,no,no,no,tests only,tests,https://github.com/twentyhq/twenty/commit/8d47d8ae38a80c0b590c4ddffc76ee9b85f7f149,no,tests only,tests,no,,sdk_tests
4,2026-03-02,0223975bbdbcb3a5e2bb2c538c844195fbace4b2,0223975bbd,Félix Malfait,"Harden GitHub Actions: fix injections, isolate privileged operations to ci-privileged repo (#18318)",.github (9),9,139,382,no,no,no,CI only,ci,https://github.com/twentyhq/twenty/commit/0223975bbdbcb3a5e2bb2c538c844195fbace4b2,no,CI only,ci,no,,ci
5,2026-03-02,2a5b2746c9bf1aac61e056bc072cbaf8bf9cc139,2a5b2746c9,Félix Malfait,Fix preview-env-dispatch: repository_dispatch requires contents:write,.github (1),1,1,2,no,no,no,CI only,ci,https://github.com/twentyhq/twenty/commit/2a5b2746c9bf1aac61e056bc072cbaf8bf9cc139,no,CI only,ci,no,,ci
6,2026-03-02,a06abb1d60f1d3d5f36169b0ae61de2601bcae67,a06abb1d60,Baptiste Devessier,Fields widget rename group (#18169),packages/twenty-front (4),4,283,17,no,no,no,UI behavior tweak,ux_tweak,https://github.com/twentyhq/twenty/commit/a06abb1d60f1d3d5f36169b0ae61de2601bcae67,no,UI behavior tweak,ux_tweak,yes,7,ux_tweak
7,2026-03-02,5afc46ebd3b424e017c01163597c83ee0c4095c0,5afc46ebd3,github-actions[bot],i18n - translations (#18321),packages/twenty-front (62),62,241,31,no,no,no,translations only,translations,https://github.com/twentyhq/twenty/commit/5afc46ebd3b424e017c01163597c83ee0c4095c0,no,translations only,translations,no,,translations
8,2026-03-02,1b67ba6a75f39427ccffae6211ebfc5f992242c3,1b67ba6a75,neo773,Draft emails fix onblur on text input and callout banner component overflow (#18310),"packages/twenty-front (3), packages/twenty-ui (1)",4,13,2,no,yes,yes,core product bug fix,core_fix,https://github.com/twentyhq/twenty/commit/1b67ba6a75f39427ccffae6211ebfc5f992242c3,yes,core product bug fix,core_fix,yes,3,frontend_fix
9,2026-03-02,d021f7e369e9e597fa04a1f3de50129712126c91,d021f7e369,martmull,Fix self host application (#18292),"packages/twenty-apps (18), packages/twenty-server (12), packages/twenty-zapier (8), packages/create-twenty-app (5)",48,6099,694,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/d021f7e369e9e597fa04a1f3de50129712126c91,no,already integrated in Fuse,duplicate,no,,duplicate
10,2026-03-02,1a8be234de7762dcf39e37bd7be19af0968457f3,1a8be234de,Félix Malfait,"OAuth security hardening: RFC compliance, PKCE binding, rate limiting (#18305)","packages/twenty-server (22), packages/twenty-front (2)",24,1698,169,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/1a8be234de7762dcf39e37bd7be19af0968457f3,no,already integrated in Fuse,duplicate,no,,duplicate
11,2026-03-02,5e92fb4fc6c884f2cd383766f4227e3c3aca0d16,5e92fb4fc6,martmull,Do not console.log while consoleListener (#18322),packages/twenty-server (1),1,2,2,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/5e92fb4fc6c884f2cd383766f4227e3c3aca0d16,no,already integrated in Fuse,duplicate,no,,duplicate
