plan_order,wave,wave_name,batch,batch_name,chunk,risk,date,short_sha,sha,author,subject,rationale,top_dirs,files_changed,insertions,deletions,goal,validation,commit_url,new_in_revision
1,1,Safety First,1A,Auth and Runtime Hardening,1A-01,high,2026-03-04,aeedcf3353,aeedcf33534adc786614244027f11934dc0ae6e9,Thomas des Francs,Enable password reset from app.twenty.com with workspace fallback (#18271),security or auth hardening,"packages/twenty-front (7), packages/twenty-server (7)",14,343,103,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/aeedcf33534adc786614244027f11934dc0ae6e9,no
2,1,Safety First,1A,Auth and Runtime Hardening,1A-01,high,2026-03-05,38ad0820c0,38ad0820c0fd95bd3db1f4fd4823cbd5757af7d0,Paul Rastoin,Fix server logs leak (#18423),security or auth hardening,packages/twenty-server (31),31,147,75,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/38ad0820c0fd95bd3db1f4fd4823cbd5757af7d0,no
3,1,Safety First,1A,Auth and Runtime Hardening,1A-01,high,2026-03-06,ef003fb929,ef003fb929f2092bdaa8f2b19aa0d1ccd8ef0657,neo773,fix blocklist (#18332),security or auth hardening,packages/twenty-server (31),31,339,203,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/ef003fb929f2092bdaa8f2b19aa0d1ccd8ef0657,no
4,1,Safety First,1A,Auth and Runtime Hardening,1A-01,high,2026-03-06,d825ac06dd,d825ac06ddc82285a66e33d11823b33b82df7431,Weiko,fix server production build (#18458),security or auth hardening,"packages/twenty-server (1), yarn.lock (1)",2,2,0,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/d825ac06ddc82285a66e33d11823b33b82df7431,no
5,1,Safety First,1A,Auth and Runtime Hardening,1A-01,high,2026-03-10,05c2da2d0f,05c2da2d0fddddab1997fbaf503b883662fb496a,Félix Malfait,Improve SSRF IP validation and add protocol allowlist (#18518),security or auth hardening,packages/twenty-server (5),5,321,56,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/05c2da2d0fddddab1997fbaf503b883662fb496a,no
6,1,Safety First,1A,Auth and Runtime Hardening,1A-01,high,2026-03-11,d9b3507866,d9b3507866f686ca98277d31f042f74adc8d1f84,martmull,Run vulnerable operation in isolated environment (#18523),security or auth hardening,"packages/twenty-server (20), yarn.lock (1)",21,2030,148,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/d9b3507866f686ca98277d31f042f74adc8d1f84,no
7,1,Safety First,1A,Auth and Runtime Hardening,1A-01,high,2026-03-11,f0c83434a7,f0c83434a7eee18a9f9963e6879c55c2088ab76f,Félix Malfait,feat: default code interpreter and logic function to Disabled in production (#18559),production safety default,"packages/twenty-server (3), packages/twenty-docs (1)",4,42,21,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/f0c83434a7eee18a9f9963e6879c55c2088ab76f,no
8,1,Safety First,1A,Auth and Runtime Hardening,1A-01,high,2026-03-18,b1a7c5c4d6,b1a7c5c4d6b5493f7167d6f39ca271feafc3b2c0,neo773,Fix null connectedAccount crash in blocklist message deletion job (#18723),security or auth hardening,packages/twenty-server (1),1,3,2,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/b1a7c5c4d6b5493f7167d6f39ca271feafc3b2c0,no
9,1,Safety First,1A,Auth and Runtime Hardening,1A-02,high,2026-03-18,b6c62b3812,b6c62b38123006525bc8918ae2a863eb550b1901,Félix Malfait,fix(auth): use dynamic SSE headers and add token renewal retry logic (#18706),auth token renewal fix,packages/twenty-front (5),5,81,42,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/b6c62b38123006525bc8918ae2a863eb550b1901,no
10,1,Safety First,1A,Auth and Runtime Hardening,1A-02,high,2026-03-20,0a6b514898,0a6b514898c4a9c56c9c229600d30833df2bfd2e,Félix Malfait,fix: remove redundant cookie write that made tokenPair a session cookie (#18795),core product bug fix,packages/twenty-front (1),1,0,2,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/0a6b514898c4a9c56c9c229600d30833df2bfd2e,no
