plan_order,wave,wave_name,batch,batch_name,chunk,risk,date,short_sha,sha,author,subject,rationale,top_dirs,files_changed,insertions,deletions,goal,validation,commit_url,new_in_revision,backlog_track,backlog_reason
183,6,Features & Enhancements,6A,Command Menu & Navigation Features,6A-01,low,2026-03-17,05a81c82a9,05a81c82a99891863b419f8734a98f718f04120e,Raphaël Bosi,Add hotkeys to command menu items (#18682),feature,"packages/twenty-server (14), packages/twenty-front (7), packages/twenty-sdk (3), packages/twenty-ui (1)",25,159,22,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/05a81c82a99891863b419f8734a98f718f04120e,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
184,6,Features & Enhancements,6A,Command Menu & Navigation Features,6A-01,low,2026-03-17,a82739cdb1,a82739cdb1987f0e4db184d2430f72846f660ee6,Charles Bochet,feat: optimistic metadata store updates for navigation menu items (#18710),feature,"packages/twenty-front (15), packages/twenty-server (9), packages/twenty-sdk (3)",27,1495,1415,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/a82739cdb1987f0e4db184d2430f72846f660ee6,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
185,6,Features & Enhancements,6A,Command Menu & Navigation Features,6A-01,low,2026-03-18,dedcf4e9b9,dedcf4e9b91692836f3da541a4af659699396381,Raphaël Bosi,Support template variables in command menu item labels (#18707),feature,"packages/twenty-front (14), packages/twenty-shared (9), packages/twenty-server (2)",25,673,236,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/dedcf4e9b91692836f3da541a4af659699396381,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
186,6,Features & Enhancements,6A,Command Menu & Navigation Features,6A-01,low,2026-03-18,87efaf2ff8,87efaf2ff8624d30557816600bca16870e4f4f40,neo773,workspace:export command (#18695),feature,packages/twenty-server (11),11,697,0,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/87efaf2ff8624d30557816600bca16870e4f4f40,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
187,6,Features & Enhancements,6A,Command Menu & Navigation Features,6A-01,low,2026-03-18,f2fa958f20,f2fa958f200671f36602a423e7e673724a159fbe,Raphaël Bosi,Add progress tracking to command menu items (#18732),feature,"packages/twenty-front (17), packages/twenty-sdk (6)",23,348,110,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/f2fa958f200671f36602a423e7e673724a159fbe,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
188,6,Features & Enhancements,6A,Command Menu & Navigation Features,6A-01,medium,2026-03-26,afeef8e04a,afeef8e04a8fb3892fc5958b43b9617ce861b632,nitin,feat: add command menu item to layout customization (#18764),feature,"packages/twenty-front (67), packages/twenty-ui (5), packages/twenty-server (1), packages/twenty-shared (1)",74,2516,237,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/afeef8e04a8fb3892fc5958b43b9617ce861b632,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
189,6,Features & Enhancements,6A,Command Menu & Navigation Features,6A-01,low,2026-04-01,291792f864,291792f864520d7bd73220ad6cbd18c5baf395ba,Baptiste Devessier,Repair Edit Layout command menu item and add a button in settings to start edition too (#19208),feature,"packages/twenty-front (7), packages/twenty-server (4)",11,278,93,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/291792f864520d7bd73220ad6cbd18c5baf395ba,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
190,6,Features & Enhancements,6A,Command Menu & Navigation Features,6A-01,low,2026-04-03,8543576dae,8543576daee7f49b87a88a795643cd3ce0a1a33f,Raphaël Bosi,Dynamic icon for command menu items (#19307),feature,"packages/twenty-front (4), packages/twenty-shared (3)",7,82,45,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/8543576daee7f49b87a88a795643cd3ce0a1a33f,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
191,6,Features & Enhancements,6A,Command Menu & Navigation Features,6A-02,low,2026-04-07,607e708670,607e7086706985b4efd8f0aa859492aaf85a8f8f,Raphaël Bosi,[COMMAND MENU ITEMS] Add navigate to settings pages commands (#19408),feature,packages/twenty-server (2),2,326,61,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/607e7086706985b4efd8f0aa859492aaf85a8f8f,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
192,6,Features & Enhancements,6B,Record & Field Features,6B-01,low,2026-03-06,403db7ad3f,403db7ad3f3a831a54064926c24c8c970a9e4a79,martmull,Add default viewField when creating object (#18441),feature,"packages/twenty-server (26), packages/create-twenty-app (6), packages/twenty-sdk (6), packages/twenty-shared (2)",45,210,218,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/403db7ad3f3a831a54064926c24c8c970a9e4a79,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
